stt,login_username,login_pwd,job_title,job_description,note
1,admin,Beebapcay2000+,Analyst Programmer,Reduction torsion testes,Occlusion of Left External Carotid Artery with Intraluminal Device, Percutaneous Approach
2,admin,Beebapcay2000+,Staff Scientist,Bact smear-peritoneum,Drainage of Right Knee Bursa and Ligament, Open Approach
3,admin,Beebapcay2000+,Help Desk Technician,Total gastrectomy NEC,Excision of Right Sacroiliac Joint, Percutaneous Endoscopic Approach
4,admin,Beebapcay2000+,Recruiting Manager,Ophthalmoscopy,Destruction of Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach
5,admin,Beebapcay2000+,Legal Assistant,Other fasciectomy,Supplement Right Axillary Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
6,admin,Beebapcay2000+,Mechanical Systems Engineer,Diagnostic imaging NOS,Occlusion of Right Large Intestine with Extraluminal Device, Open Approach
7,admin,Beebapcay2000+,Staff Accountant I,Other heart septa ops,Magnetic Resonance Imaging (MRI) of Right Elbow
8,admin,Beebapcay2000+,Executive Secretary,Quadricepsplasty,Excision of Head Muscle, Percutaneous Approach, Diagnostic
9,admin,Beebapcay2000+,Registered Nurse,Insert uterine device,Control Bleeding in Right Lower Leg, Percutaneous Approach
10,admin,Beebapcay2000+,Media Manager II,Inject/infuse NEC,Replacement of Bladder with Nonautologous Tissue Substitute, Open Approach
11,admin,Beebapcay2000+,Mechanical Systems Engineer,P32 & eye tracer NEC,Bypass Left Common Iliac Artery to Bilateral Internal Iliac Arteries with Synthetic Substitute, Open Approach
12,admin,Beebapcay2000+,Database Administrator IV,Paracerv uterine denerv,Excision of Right Femoral Artery, Open Approach
13,admin,Beebapcay2000+,Research Assistant I,Bact smear-nervous syst,Destruction of Left Common Carotid Artery, Percutaneous Approach
14,admin,Beebapcay2000+,Geologist II,Other fetal monitoring,Division of Anal Sphincter, Percutaneous Approach
15,admin,Beebapcay2000+,Food Chemist,Hand muscle reattachment,Reposition Left Thorax Bursa and Ligament, Open Approach
16,admin,Beebapcay2000+,Developer I,Nasal biopsy,Removal of Spacer from Left Sternoclavicular Joint, Percutaneous Approach
17,admin,Beebapcay2000+,Financial Advisor,Perc abltn renl les/tiss,Removal of Radioactive Element from Gastrointestinal Tract, Open Approach
18,admin,Beebapcay2000+,Teacher,Gb-to-intestine anastom,Map Thalamus, Open Approach
19,admin,Beebapcay2000+,Actuary,Culture-lower resp,Revision of Drainage Device in Nose, Percutaneous Approach
20,admin,Beebapcay2000+,Design Engineer,Arthroplasty carpal wit,Measurement of Respiratory Volume, External Approach
21,admin,Beebapcay2000+,Media Manager III,Culture NOS,Repair Upper Gingiva, Open Approach
22,admin,Beebapcay2000+,Technical Writer,Transplant cadaver donor,Occlusion of Right Popliteal Artery with Intraluminal Device, Percutaneous Approach
23,admin,Beebapcay2000+,Biostatistician II,Delay opening enterostom,Removal of Autologous Tissue Substitute from Right Carpal, Percutaneous Approach
24,admin,Beebapcay2000+,Geologist IV,Total removal sm bowel,Revision of External Fixation Device in Right Thumb Phalanx, External Approach
25,admin,Beebapcay2000+,Social Worker,Whole blood transfus NEC,Bypass Innominate Artery to Right Extracranial Artery with Synthetic Substitute, Open Approach
26,admin,Beebapcay2000+,Mechanical Systems Engineer,Remove bladder stimulat,Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Via Natural or Artificial Opening
27,admin,Beebapcay2000+,Senior Editor,Percu endosc gastrostomy,Bypass Left Vas Deferens to Right Epididymis, Percutaneous Endoscopic Approach
28,admin,Beebapcay2000+,Marketing Assistant,Lap remove remain ovary,Release Left Hip Tendon, Percutaneous Approach
29,admin,Beebapcay2000+,Senior Sales Associate,Osteoclasis-humerus,Supplement Gastric Vein with Synthetic Substitute, Percutaneous Approach
30,admin,Beebapcay2000+,Statistician II,Procedure-four+ vessels,Transfusion of Autologous Antihemophilic Factors into Peripheral Artery, Percutaneous Approach
31,admin,Beebapcay2000+,Senior Developer,Ocular thermography,Supplement Tricuspid Valve with Autologous Tissue Substitute, Open Approach
32,admin,Beebapcay2000+,Internal Auditor,Intrauterine transfusion,Inspection of Ureter, Via Natural or Artificial Opening
33,admin,Beebapcay2000+,Senior Cost Accountant,Pancreatic repair NEC,Revision of Drainage Device in Brain, Percutaneous Approach
34,admin,Beebapcay2000+,Information Systems Manager,Prostatic operation NEC,Plain Radiography of Left Elbow using Low Osmolar Contrast
35,admin,Beebapcay2000+,Pharmacist,Manl reduct stoma prolap,Reposition Left Radius with Internal Fixation Device, Open Approach
36,admin,Beebapcay2000+,Assistant Media Planner,Exc/des hrt les,endovasc,Replacement of Colic Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
37,admin,Beebapcay2000+,Safety Technician III,Bone division NEC,Introduction of Monoclonal Antibody into Nose, External Approach
38,admin,Beebapcay2000+,GIS Technical Architect,Vaginal vault obliterat,Reposition Right Posterior Tibial Artery, Percutaneous Approach
39,admin,Beebapcay2000+,Account Representative II,Limited rhinoplasty,Revision of Synthetic Substitute in Left Metacarpophalangeal Joint, External Approach
40,admin,Beebapcay2000+,Account Representative III,Perivesical incision NEC,Supplement Innominate Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
41,admin,Beebapcay2000+,Systems Administrator II,Video/radio eeg monitor,Introduction of Immunostimulator into Peripheral Vein, Open
42,admin,Beebapcay2000+,Staff Scientist,Pineal field exploration,Insertion of Infusion Device into Left Posterior Tibial Artery, Open Approach
43,admin,Beebapcay2000+,Editor,Replac m/s immob dev NEC,Monitoring of Venous Pulse, Peripheral, Percutaneous Approach
44,admin,Beebapcay2000+,Engineer I,Internal fix-patella,Insertion of Intraluminal Device into Left Subclavian Artery, Percutaneous Endoscopic Approach
45,admin,Beebapcay2000+,Data Coordiator,Local excis sm bowel NEC,Insertion of Artificial Sphincter into Urethra, Via Natural or Artificial Opening Endoscopic
46,admin,Beebapcay2000+,Editor,Culture-lower resp,Introduction of Other Antineoplastic into Genitourinary Tract, Via Natural or Artificial Opening Endoscopic
47,admin,Beebapcay2000+,Sales Representative,Mus/ten/fas/bur op NEC,Drainage of Scrotum, Open Approach, Diagnostic
48,admin,Beebapcay2000+,Editor,Lap thorc app-diaph hern,Occlusion of Left Fallopian Tube with Intraluminal Device, Percutaneous Endoscopic Approach
49,admin,Beebapcay2000+,Food Chemist,Intrcran vent shunt/anas,Destruction of Cervicothoracic Vertebral Disc, Percutaneous Approach
50,admin,Beebapcay2000+,Marketing Assistant,Other plastic ops muscle,Insertion of Infusion Device into Ureter, Via Natural or Artificial Opening
51,admin,Beebapcay2000+,Speech Pathologist,D & C post delivery,Replacement of Nasal Bone with Synthetic Substitute, Open Approach
52,admin,Beebapcay2000+,Help Desk Operator,Excision acoustc neuroma,Insertion of Radioactive Element into Bilateral Breast, Open Approach
53,admin,Beebapcay2000+,Mechanical Systems Engineer,Oth humerus repair/plast,Fluoroscopy of Epidural Veins using Other Contrast, Guidance
54,admin,Beebapcay2000+,Assistant Manager,Bone scan,Drainage of Lower Gingiva, Percutaneous Approach, Diagnostic
55,admin,Beebapcay2000+,Registered Nurse,Remove impl dev-humerus,Insertion of Intraluminal Device into Hepatobiliary Duct, Open Approach
56,admin,Beebapcay2000+,Computer Systems Analyst IV,Cystocele repair,Excision of Right Frontal Bone, Open Approach
57,admin,Beebapcay2000+,Financial Advisor,Oth metatars/tars incis,Drainage of Thorax Lymphatic, Percutaneous Endoscopic Approach
58,admin,Beebapcay2000+,Tax Accountant,Mid forceps w episiotomy,Lower Joints, Change
59,admin,Beebapcay2000+,Quality Control Specialist,Piercing of ear lobe,Home Management Treatment using Electrotherapeutic Equipment
60,admin,Beebapcay2000+,Research Nurse,Venous cutdown,Excision of Left Frontal Bone, Percutaneous Approach, Diagnostic
61,admin,Beebapcay2000+,Statistician III,Unspec op-bone inj NEC,Repair Lumbosacral Joint, External Approach
62,admin,Beebapcay2000+,Help Desk Technician,Anal sphincterotomy NEC,Detachment at Left Hand, Complete 4th Ray, Open Approach
63,admin,Beebapcay2000+,Executive Secretary,Ultrasound study of eye,Planar Nuclear Medicine Imaging of Head and Neck using Technetium 99m (Tc-99m)
64,admin,Beebapcay2000+,Statistician IV,Unilat lung transplant,Fusion of Occipital-cervical Joint with Nonautologous Tissue Substitute, Posterior Approach, Anterior Column, Percutaneous Approach
65,admin,Beebapcay2000+,Senior Editor,Extraperitoneal c-sect,Wound Management Treatment of Musculoskeletal System - Head and Neck using Other Equipment
66,admin,Beebapcay2000+,Teacher,Incision of bronchus,Bypass Left Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Open Approach
67,admin,Beebapcay2000+,Geologist I,Open periph nerve biopsy,Change Other Device in Lower Back, External Approach
68,admin,Beebapcay2000+,Account Executive,Subtotl abd hyst NEC/NOS,Excision of Left Axillary Vein, Percutaneous Endoscopic Approach
69,admin,Beebapcay2000+,General Manager,Repair of thymus,Supplement Colic Vein with Synthetic Substitute, Open Approach
70,admin,Beebapcay2000+,Graphic Designer,Form cutan ileoureterost,Division of Left Lower Leg Muscle, Percutaneous Approach
71,admin,Beebapcay2000+,Help Desk Operator,Open lung biopsy,Removal of Other Device on Abdominal Wall
72,admin,Beebapcay2000+,GIS Technical Architect,LITT lesn brain,guidance,Bypass Right External Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
73,admin,Beebapcay2000+,Recruiter,Parasitology NOS,Extirpation of Matter from Left Toe Phalanx, Percutaneous Approach
74,admin,Beebapcay2000+,VP Accounting,Gb-to-hepat duct anast,Excision of Right Kidney, Open Approach, Diagnostic
75,admin,Beebapcay2000+,Programmer Analyst I,Tot nasal reconstruction,Restriction of Right Femoral Artery with Extraluminal Device, Percutaneous Endoscopic Approach
76,admin,Beebapcay2000+,Payment Adjustment Coordinator,Instrument delivery NEC,Drainage of Left Common Iliac Artery, Percutaneous Approach, Diagnostic
77,admin,Beebapcay2000+,Operator,Tracheal reconstruction,Reposition Intracranial Artery, Percutaneous Endoscopic Approach
78,admin,Beebapcay2000+,Senior Financial Analyst,Culture-lower GI,Revision of Autologous Tissue Substitute in Lower Muscle, External Approach
79,admin,Beebapcay2000+,Database Administrator III,Pancreatic dx proc NEC,Removal of External Fixation Device from Right Metatarsal-Tarsal Joint, External Approach
80,admin,Beebapcay2000+,Civil Engineer,Neurologic func test NEC,Replacement of Lower Artery with Synthetic Substitute, Open Approach
81,admin,Beebapcay2000+,Biostatistician II,Indwell cath irrig NEC,Supplement Bilateral Vas Deferens with Nonautologous Tissue Substitute, Open Approach
82,admin,Beebapcay2000+,Software Test Engineer III,Abdperneal res rectm NOS,Alteration of Left Upper Leg with Nonautologous Tissue Substitute, Percutaneous Approach
83,admin,Beebapcay2000+,Pharmacist,Explor tend sheath-hand,Revision of Other Device in Right Upper Extremity, Percutaneous Approach
84,admin,Beebapcay2000+,Human Resources Assistant IV,Labial frenumectomy,Low Dose Rate (LDR) Brachytherapy of Nasopharynx using Iridium 192 (Ir-192)
85,admin,Beebapcay2000+,GIS Technical Architect,Rev knee replace-patella,Insertion of Intramedullary Internal Fixation Device into Left Fibula, Percutaneous Approach
86,admin,Beebapcay2000+,Graphic Designer,Proc-vessel bifurcation,Revision of Synthetic Substitute in Upper Tendon, External Approach
87,admin,Beebapcay2000+,Office Assistant IV,Micro exam-blood NEC,Fluoroscopy of Right Elbow using Other Contrast
88,admin,Beebapcay2000+,VP Marketing,Mouth incision NOS,Tone Decay Assessment using Electroacoustic Immitance / Acoustic Reflex Equipment
89,admin,Beebapcay2000+,Junior Executive,Rabies vaccination,Extirpation of Matter from Pons, Open Approach
90,admin,Beebapcay2000+,Analyst Programmer,Heart transplantation,Release Right Metacarpal, Percutaneous Endoscopic Approach
91,admin,Beebapcay2000+,Design Engineer,Oth laryngeal operation,Dilation of Right External Jugular Vein with Intraluminal Device, Percutaneous Approach
92,admin,Beebapcay2000+,Physical Therapy Assistant,Suture esophageal lacer,Resection of Left Maxillary Sinus, Percutaneous Endoscopic Approach
93,admin,Beebapcay2000+,Software Test Engineer I,Inner ear fenestration,Fusion of Cervicothoracic Vertebral Joint with Synthetic Substitute, Posterior Approach, Anterior Column, Percutaneous Endoscopic Approach
94,admin,Beebapcay2000+,Geological Engineer,After-cataract excision,Bypass Right Ureter to Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
95,admin,Beebapcay2000+,Nuclear Power Engineer,Lip biopsy,Low Dose Rate (LDR) Brachytherapy of Colon using Iodine 125 (I-125)
96,admin,Beebapcay2000+,Cost Accountant,Fetal ekg,Motor Speech Assessment using Speech Analysis Equipment
97,admin,Beebapcay2000+,Account Executive,Joint biopsy NEC,Introduction of Radioactive Substance into Products of Conception, Via Natural or Artificial Opening
98,admin,Beebapcay2000+,Geological Engineer,Opn reduc disloc-shouldr,Insertion of Other Device into Left Ankle Region, Open Approach
99,admin,Beebapcay2000+,Web Designer I,Radical groin dissection,Supplement Right Upper Eyelid with Nonautologous Tissue Substitute, Percutaneous Approach
100,admin,Beebapcay2000+,Accounting Assistant IV,Auto hem stem ct w purg,Insertion of Intraluminal Device into Left Face Vein, Percutaneous Approach
