stt,username,password
1,ssimkovich0,DkWS@sW5lEn+*@
2,ojammet1,eYdMrG+6ht+*@
3,bmarion2,Dah0qdZgO++*
4,kbrokenshaw3,a4e6vRfZ++*
5,gnegro4,Ur4DSp3PMx++*@
6,dcharity5,3s81Z9FLQZ+*
7,skeane6,zqvDMJHKK+*@$&
8,htrusse7,3JYmjgE+*@$&
9,kbreakwell8,v8tAUC+*@$&
10,mcammiemile9,eZNtWTQ+*
11,ecardiffa,sx9mAS7p+*@$
12,kcinob,jzBxKTg+*@$&
13,gstalfc,HfABdgSV+*
14,sgligoracid,YdgUrJB+*
15,gtudgee,TW4mGITt840+
16,pdominof,CbXOKa7+*@$
17,jtignerg,L4ppvOO+
18,skirwoodh,uqKboI+*@$&
19,lpropheti,OQ9l4NumK13+
20,kbrockiej,a3PmPstFF+*@$
21,gmurrockk,25oniWd+*@$
22,aopdenorthl,Lc7WagGI+*@
23,rpettmanm,4aSUw5Lsi+*
24,kgilbodyn,EBGHbbPHtnp+*@$&
25,trubenchiko,2Xz1PgTm8f+*@$
26,ewinteringhamp,CkO0VL1yZ+
27,mvignauxq,ce9JXj75+*@
28,vcammidger,vjyIWC+
29,sheritys,oHN3TVhMi58+*
30,klombardt,Vvmbrq5+
31,jfowellu,CkbzgQw6+*@$
32,htreswellv,EtKqsuo+*@
33,ssampsonw,oo7jhyGH3nDy+*@$&
34,tmalpassx,tNmnfmD1ayx+*@$&
35,bkingcotey,xtrRKG+*
36,wmccawleyz,IGPjAx+
37,btwort10,PPaIJA2EmT06+*@
38,dtoffoloni11,tYRY33B+*
39,tmarven12,PGEZuww+
40,pingleston13,z5WWgZfc+
41,wskurm14,82eS7UK+*@
42,eheaven15,0A6nv7R+*@
43,cmccall16,8GtValvW8+*
44,bstaining17,TfVKdU6pDvOT+*@$
45,kcordeau18,1twvfwa+*
46,hburkart19,IGN67y57+*@$&
47,jgregs1a,yPVJrn+*@$
48,lcarolan1b,8naFAL+*@
49,ltreverton1c,MU7RtU33Qs2K+*@$&
50,wvann1d,cASqFbPBs+
51,ckynston1e,GqIrwpwW5BaY+*@
52,eorviss1f,4LbR5yq+*
53,mgreson1g,1EiQDdn1o+*@$&
54,nrentelll1h,H27K23b7i+*
55,cbridges1i,ObBlaNTnBlKO+*@
56,rstairs1j,ifq7A2XlfqMH+*
57,ymccallum1k,HrI5CKPKe+*
58,gurling1l,2FiDNVzr+*@$&
59,twilletts1m,abDmgiI8QXw+
60,dokell1n,OcFV4Ic0kp+
61,rollerhad1o,nir6voOqOq2+*@
62,niremonger1p,cwCyPrfxJ5+
63,eflaws1q,froJYmN+*@$
64,thollingby1r,KAgyVLY1I+*@$&
65,oqueripel1s,68LcB2y6F+*
66,asire1t,lmVGMAJEPW+*@$
67,amckevitt1u,9gpKPo2F4oaR+*@$
68,ahalstead1v,UCQWCC1tr+*@$
69,msherewood1w,RObtYFyBAZ+
70,lmadison1x,8tJxtgsiloxT+*@$
71,dabramchik1y,KBFTOtDFy+*@$
72,ecloney1z,hmu7Yxs+
73,odivill20,0bIlvtKyly2i+*@$&
74,dgorry21,WFdPxLg+*@$
75,nferronier22,1MwwVZI6en7+*@$&
76,morys23,iUMQEUc+*@$
77,ahumphery24,WkC3b9yG+
78,cnarramore25,8fijW1vrOf+*@$
79,mfranciskiewicz26,YXqzyoV1+*@
80,kjardine27,5qqQNqltp+*@$
81,mbanaszkiewicz28,XIXkDI6d+*@$&
82,blumb29,3nD58In+*
83,jmapplebeck2a,GPhNcow8xhcC+*@
84,rmixture2b,qPJtf8eUNaOU+*@$
85,obrayfield2c,AqipkihBbpb+
86,spitherick2d,qHutX0B7mA+*
87,dcutsforth2e,xHLRG2lDct0G+*
88,dleadston2f,BI95UE+*@
89,mlibero2g,owv0jXiRGVCU+*@$&
90,netock2h,nlvVfw5Y+*@
91,cluty2i,85Q6UF+
92,ealeshintsev2j,QtGT18GT+*
93,mreany2k,MuPqEMLYX5e+*@$
94,dmariault2l,t3vFJg0LuWI+
95,lgendrich2m,DkmlFM2Vpxlm+*
96,awrankmore2n,5kwTD1JA96+*@$&
97,kmajury2o,MFpQLqIN8P+*
98,nmarchment2p,tUFJ7QL7Z5T+*
99,bdenis2q,QgttI6QBk+*@
100,kbeades2r,BuMJcH4bR9+
